ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
18318001|War Memorial|03170245|331513|188512|1||osgb1000002067260980|4|27100238|3|9.1||||Gwent|NP19|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
18318062|War Memorial|03170245|334645|189307|1||osgb1000002059707396|3|27105178|3|3||||Gwent|NP18|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
18397406|War Memorial|03170245|329588|200406|1||osgb5000005269519109|1|40801456|3|26.2||||Gwent|NP4|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
18317302|War Memorial|03170245|329153|196610|1||osgb1000002040902016|3|40800192|3|11.5||||Gwent|NP44|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
18764672|Twyn Pant-Teg Tumulus|03170240|323952|188855|2||Not Assigned|0|27105339|3|67.7||||Gwent|NP10|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
17606737|Fountain|03170245|328966|198555|2||Not Assigned|0|40801348|3|41.2||||Gwent|NP4|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
17612333|Fountain|03170245|335651|188858|2||Not Assigned|0|27105120|3|43.1||||Gwent|NP19|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
18317347|Memorial|03170245|324175|190090|2||Not Assigned|0|47500793|3|20.9||||Gwent|NP11|Caerffili - Caerphilly||||||Ordnance Survey|2025-03-01
17612334|Fountain|03170245|335655|188867|2||Not Assigned|0|27105120|3|34.1||||Gwent|NP19|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
17606599|Fountain|03170245|329943|194001|2||Not Assigned|0|40804145|3|29.5||||Gwent|NP44|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
17612671|Lych Gate|03170245|330816|187591|1||osgb1000027519443|3|27111985|3|14.6||||Gwent|NP20|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
17612167|Lych Gate|03170245|334658|189319|1||osgb1000043039315|4|27105178|3|14.2||||Gwent|NP18|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
17765257|Fountain|03170245|328920|185988|2||Not Assigned|0|27100264|3|60.1||||Gwent|NP20|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
20295263|Fountains|03170245|329949|193995|2||Not Assigned|0|40801190|3|28.7||||Gwent|NP44|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
20295274|Fountains|03170245|329936|193995|2||Not Assigned|0|40801190|3|27.9||||Gwent|NP44|Torfaen - Torfaen||||||Ordnance Survey|2025-03-01
17605851|Fountain|03170245|325954|186777|2||Not Assigned|0|27104784|3|97.7||||Gwent|NP10|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
17606114|Fountain|03170245|328865|185271|2||Not Assigned|0|27112317|3|102.2||||Gwent|NP10|Casnewydd - Newport||||||Ordnance Survey|2025-03-01
21047342|Newport Citizens Advice Ltd|05290358|331158|188154|1|10002149878|osgb1000027573178|3|27100395|1|12.8|8|Corn Street|Newport|Gwent|NP20 1DJ|Casnewydd - Newport|01633222622|www.citizensadvice.org.uk||||National Association of Citizens Advice Bureaux|2025-03-01
21047351|Citizens Advice Caerphilly Blaenau Gwent (Risca)|05290358|324262|190339|1|43074487|osgb1000027401369|3|47502859|1|13.7||Park Road|Pontymister, Risca|Gwent|NP11 6BJ|Caerffili - Caerphilly|08007022020|www.citizensadvice.org.uk||||National Association of Citizens Advice Bureaux|2025-03-01
122461512|Cash Machine (NoteMachine Ltd)|02090141|331484|188484|1|10014124421|osgb1000027573517|3|27100340|1|24.5|40-40a|Clarence Place|Newport|Gwent|NP19 0AG|Casnewydd - Newport||||||VocaLink|2025-03-01
